episode,win_rate,avg_reward,accuracy,epsilon
220,25.0,-62.2,51.03950103950103,0.0663907782704471
221,21.0,-61.65,54.58015267175572,0.06605882437909487
222,22.0,-55.79,55.09039010466223,0.0657285302571994
223,22.0,-65.06,53.32050048123196,0.06539988760591339
224,16.0,-82.34,51.78217821782178,0.06507288816788383
225,28.999999999999996,-43.34,54.67695274831244,0.06474752372704441
226,26.0,-47.24,55.40921919096896,0.0644237861084092
227,23.0,-56.78,54.15472779369628,0.06410166717786715
228,23.0,-54.77,55.08474576271186,0.06378115884197781
229,23.0,-59.75,54.12667946257198,0.06346225304776792
230,22.0,-57.91,54.684512428298284,0.06314494178252908
231,28.000000000000004,-42.35,55.663117134559535,0.06282921707361644
232,25.0,-53.11,54.3245869776482,0.06251507098824835
233,24.0,-53.54,54.642166344294004,0.062202495633307105
234,20.0,-59.87,55.00000000000001,0.06189148315514057
235,21.0,-58.86,54.59715639810426,0.061582025739364867
236,21.0,-63.44,53.63457760314342,0.06127411561066804
237,24.0,-52.94,54.9172346640701,0.0609677450326147
238,23.0,-54.4,54.99021526418787,0.06066290630745162
239,28.000000000000004,-42.78,54.961832061068705,0.060359591775914365
240,28.000000000000004,-41.45,55.6640625,0.06005779381703479
241,26.0,-48.51,54.9812030075188,0.059757504847949616
242,22.0,-61.73,53.599221789883266,0.059458717323709866
243,21.0,-68.1,53.2608695652174,0.059161423737091316
244,25.0,-57.26,53.606237816764136,0.05886561661840586
245,18.0,-70.14,54.22602089268756,0.05857128853531383
246,20.0,-60.07,55.140186915887845,0.05827843209263726
247,19.0,-55.62,57.10407239819004,0.05798703993217407
248,19.0,-65.6,54.58052073288332,0.0576971047325132
249,22.0,-58.65,54.19103313840156,0.05740861920885063
250,18.0,-73.31,51.90133607399794,0.057121576112806376
251,27.0,-44.62,55.038022813688215,0.056835968232242344
252,15.0,-79.39,52.74509803921569,0.05655178839108113
253,24.0,-55.8,54.271844660194176,0.05626902944912573
254,28.000000000000004,-40.09,56.015037593984964,0.0559876843018801
255,24.0,-58.47,53.77176015473888,0.055707745880370696
256,32.0,-39.85,54.13758723828514,0.05542920715096884
257,30.0,-41.12,55.481410867492855,0.055152061115214
258,21.0,-62.36,54.310344827586206,0.05487630080963793
259,26.0,-50.74,54.536679536679536,0.05460191930558974
260,23.0,-55.81,54.894433781190024,0.05432890970906179
261,23.0,-56.02,55.34069981583794,0.05405726516051648
262,22.0,-60.8,54.33746425166825,0.0537869788347139
263,23.0,-58.88,54.34362934362934,0.053518043940540334
264,25.0,-55.45,53.9282250242483,0.053250453720837636
265,23.0,-57.4,54.77767265846736,0.05298420145223345
266,20.0,-62.79,54.170661553211886,0.05271928044497228
267,26.0,-47.84,54.722492697176236,0.05245568404274742
268,19.0,-66.88,54.263565891472865,0.05219340562253368
269,23.0,-59.08,54.263565891472865,0.05193243859442102
270,25.0,-59.05,52.29083665338645,0.05167277640144891
271,28.000000000000004,-42.7,55.67307692307693,0.05141441251944167
272,18.0,-67.01,54.25837320574163,0.05115734045684446
273,32.0,-38.2,54.400000000000006,0.050901553754560236
274,26.0,-47.91,55.50284629981025,0.05064704598578743
275,21.0,-63.22,53.28109696376102,0.0503938107558585
276,25.0,-53.58,55.172413793103445,0.05014184170207921
277,21.0,-66.6,52.67406659939455,0.04989113249356881
278,25.0,-49.96,54.58089668615984,0.04989113249356881
279,24.0,-61.73,53.06122448979592,0.04989113249356881
280,22.0,-53.02,55.71161048689138,0.04989113249356881
281,26.0,-46.71,55.34531693472091,0.04989113249356881
282,28.999999999999996,-40.01,55.73770491803278,0.04989113249356881
283,28.000000000000004,-45.44,55.1594746716698,0.04989113249356881
284,23.0,-59.78,53.785644051130774,0.04989113249356881
285,22.0,-62.29,54.06189555125726,0.04989113249356881
286,19.0,-66.78,53.73134328358209,0.04989113249356881
287,28.000000000000004,-45.57,54.92822966507177,0.04989113249356881
288,22.0,-57.7,54.976303317535546,0.04989113249356881
289,28.000000000000004,-34.52,57.66488413547237,0.04989113249356881
290,21.0,-65.41,52.552552552552555,0.04989113249356881
291,19.0,-66.36,54.285714285714285,0.04989113249356881
292,19.0,-64.54,54.44126074498568,0.04989113249356881
293,22.0,-56.38,55.00485908649174,0.04989113249356881
294,26.0,-43.63,56.43656716417911,0.04989113249356881
295,24.0,-54.51,54.20375865479723,0.04989113249356881
296,21.0,-60.82,54.81049562682215,0.04989113249356881
297,31.0,-34.36,55.45893719806764,0.04989113249356881
298,22.0,-57.41,54.780114722753346,0.04989113249356881
299,23.0,-51.83,55.763823805060916,0.04989113249356881
300,18.0,-73.67,53.091265947006875,0.04989113249356881
301,33.0,-28.55,56.40038498556304,0.04989113249356881
302,22.0,-57.9,54.85110470701249,0.04989113249356881
303,23.0,-58.93,53.92156862745098,0.04989113249356881
304,31.0,-30.84,56.830601092896174,0.04989113249356881
305,23.0,-61.65,53.463414634146346,0.04989113249356881
306,26.0,-50.88,54.46601941747573,0.04989113249356881
307,25.0,-53.35,54.70588235294118,0.04989113249356881
308,25.0,-51.05,54.50049455984174,0.04989113249356881
309,18.0,-71.13,53.83141762452107,0.04989113249356881
310,23.0,-58.38,53.838484546360924,0.04989113249356881
311,27.0,-44.01,55.6497175141243,0.04989113249356881
312,24.0,-53.02,55.32319391634981,0.04989113249356881
313,24.0,-48.14,55.66127497621313,0.04989113249356881
314,28.999999999999996,-42.43,55.394990366088635,0.04989113249356881
315,25.0,-61.15,52.64207377866401,0.04989113249356881
316,23.0,-49.04,56.14035087719298,0.04989113249356881
317,27.0,-44.91,55.480116391852576,0.04989113249356881
318,27.0,-43.99,55.21350546176763,0.04989113249356881
319,22.0,-62.41,53.30097087378641,0.04989113249356881
320,22.0,-65.11,53.053053053053056,0.04989113249356881
321,20.0,-68.15,53.497536945812804,0.04989113249356881
322,26.0,-48.75,54.65898174831892,0.04989113249356881
